Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;Tkl/90;Blocks/90;Int/90;Err/90;Touches/90;Dribbles%;Points/90;xGA/90;Aerial%;Recov/90;Fls/90
Alavés;La Liga;41.7;19;15;11;26.3;16.5;0.76;0.6;0.44;1.05;0.66;39;0;1.56;6240.0;24.0;36.5;0.37;-2.5;4.04;2.59;211;8.44;2.24;3.73;-7.300000000000001;71.2;79.7;78.7;55.4;260.4;365.68;97.12;106.48;52.0;5657.36;2315.28;6.2;18.96;4.68;1.88;22.2;12.96;1.28;28.6;9.64;15.92;10.44;0.28;475.76;55.1;0.88;1.41;57.4;83.4;14.36
Athletic Club;La Liga;51.8;33;29;23;30.7;19.7;1.32;1.16;0.92;1.23;0.79;29;1;1.16;6320.0;20.0;26.2;0.32;-1.8;2.72;2.34;271;10.84;3.72;3.21;2.3000000000000007;77.2;84.8;84.1;62.1;365.68;473.96;135.12;155.64;68.52;7665.32;2618.2;8.2;28.96;8.0;2.2;33.44;18.04;2.48;28.9;8.92;14.44;7.84;0.12;573.2;59.3;1.32;0.96;54.2;86.52;13.8
Atlético Madrid;La Liga;51.8;46;42;37;31.6;22.0;1.84;1.68;1.48;1.31;0.92;17;3;0.68;8000.0;48.0;18.4;0.24;5.4;3.2;4.71;286;11.44;4.36;2.6;14.399999999999999;81.8;89.5;87.3;60.5;425.44;520.12;185.52;172.2;57.88;8043.08;2621.12;8.32;31.32;8.52;1.44;36.64;18.33;3.38;31.0;12.2;15.44;9.64;0.12;625.64;60.3;2.36;0.78;53.6;81.68;13.2
Barcelona;La Liga;64.9;53;50;35;56.0;41.4;2.04;1.92;1.35;2.15;1.59;22;1;0.85;7710.0;42.3;25.0;0.27;4.0;3.19;3.77;395;15.19;6.23;3.24;-3.0;88.7;92.6;91.9;73.9;655.42;738.73;311.46;268.77;61.96;11323.0;3313.58;12.0;47.85;14.42;1.27;48.54;27.19;3.35;31.2;9.0;13.77;8.31;0.31;838.04;63.7;2.15;1.05;57.9;79.12;9.08
Betis;La Liga;55.4;33;29;25;30.5;19.8;1.32;1.16;1.0;1.22;0.79;38;3;1.52;6320.0;36.0;36.8;0.36;1.8;3.48;2.29;291;11.64;3.92;3.38;2.5;81.4;89.8;87.0;61.0;430.24;528.32;184.6;172.52;63.36;8271.4;2646.92;8.68;28.28;7.72;2.12;30.16;19.08;2.0;29.7;10.44;13.76;11.2;0.24;641.48;57.9;1.56;1.33;49.0;85.2;13.96
Cádiz;La Liga;33.5;21;20;12;22.6;13.2;0.81;0.77;0.46;0.87;0.51;41;1;1.58;6210.0;26.9;31.4;0.29;-8.6;3.65;2.32;205;7.88;2.69;3.5;-1.6000000000000014;67.4;80.9;77.2;47.1;212.65;315.5;80.81;83.5;43.96;4680.23;1909.58;4.73;18.23;4.38;1.69;17.96;10.69;1.27;27.5;10.58;16.42;10.81;0.31;424.31;60.5;1.08;1.35;46.0;80.31;11.85
Celta Vigo;La Liga;53.6;34;31;23;31.9;22.8;1.31;1.19;0.88;1.28;0.91;40;1;1.54;5800.0;19.2;31.7;0.36;-4.3;3.38;2.2;248;9.54;3.65;3.06;2.1000000000000014;79.9;86.9;87.1;60.7;392.58;491.46;152.42;172.73;59.69;7736.12;2419.19;6.69;23.65;7.08;1.46;29.77;15.76;2.12;29.7;10.65;15.0;8.62;0.15;596.88;60.7;1.27;1.06;48.7;83.04;16.58
Eibar;La Liga;48.9;20;17;13;28.9;19.1;0.77;0.65;0.5;1.11;0.74;29;0;1.12;6790.0;26.9;30.8;0.34;1.8;3.12;2.79;301;11.58;3.23;4.94;-8.899999999999999;68.8;81.8;76.4;50.2;290.58;422.42;109.35;115.62;60.08;6340.19;2411.35;7.77;27.46;6.77;2.92;27.85;16.35;1.19;32.2;9.62;14.42;8.65;0.19;535.04;62.1;0.85;1.21;47.3;111.62;14.46
Elche;La Liga;47.4;23;21;16;18.7;12.7;0.92;0.84;0.64;0.75;0.51;37;0;1.48;6990.0;20.0;36.9;0.3;-0.1;4.52;3.05;162;6.48;2.08;2.48;4.300000000000001;80.8;89.0;88.4;60.0;372.68;460.96;149.52;156.32;58.2;7374.48;2502.64;4.36;18.96;3.36;1.6;19.88;9.56;1.4;29.1;10.84;15.24;10.08;0.24;569.44;59.1;0.96;1.66;47.6;72.92;13.6
Getafe;La Liga;44.3;21;19;11;20.4;13.2;0.81;0.73;0.42;0.78;0.51;32;1;1.23;6400.0;34.6;29.2;0.33;-1.8;2.88;2.34;219;8.42;2.46;3.37;0.6000000000000014;68.3;80.5;75.8;49.1;252.96;370.27;100.54;96.85;49.42;5352.92;2117.27;6.0;24.15;5.73;2.19;25.23;13.69;1.19;28.8;10.15;14.81;10.0;0.15;480.31;55.4;1.04;1.16;46.4;93.5;17.38
Granada;La Liga;41.3;31;29;21;26.3;17.4;1.19;1.12;0.81;1.01;0.67;44;1;1.69;6110.0;26.9;43.1;0.36;0.1;4.15;2.45;254;9.77;3.27;2.93;4.699999999999999;69.5;81.8;79.0;49.6;241.27;346.92;87.04;104.12;46.08;5199.23;2042.0;5.92;20.54;4.96;1.73;22.08;13.38;1.88;28.4;9.19;16.77;9.85;0.31;457.19;56.7;1.27;1.37;44.8;84.96;13.81
Huesca;La Liga;47.7;24;23;18;22.5;15.5;0.92;0.88;0.69;0.9;0.62;40;0;1.54;6440.0;15.4;34.0;0.33;-2.0;3.88;2.52;275;10.58;3.62;4.09;1.5;77.9;86.6;85.6;57.5;345.73;443.73;128.46;155.35;56.92;7028.38;2262.69;7.38;21.12;5.62;1.88;24.12;16.08;1.44;30.1;10.46;14.81;7.69;0.19;546.08;63.9;0.77;1.27;49.1;83.69;14.38
Levante;La Liga;52.8;34;31;25;31.4;20.9;1.31;1.19;0.96;1.26;0.84;35;0;1.35;7220.0;7.7;33.9;0.29;-0.1;4.42;3.29;266;10.23;3.73;3.13;2.6000000000000014;79.5;87.5;86.4;60.9;361.42;454.77;141.81;153.85;59.85;7235.88;2508.69;7.08;26.46;8.42;2.54;34.19;16.12;2.28;28.8;9.54;14.31;10.0;0.15;559.77;62.7;1.23;1.27;45.9;77.58;13.58
Osasuna;La Liga;41.7;23;21;16;25.1;17.3;0.88;0.81;0.62;0.97;0.66;35;2;1.35;6670.0;26.9;36.9;0.35;3.9;3.58;2.66;255;9.81;3.19;3.95;-2.1000000000000014;69.0;79.3;76.0;54.0;263.88;382.23;98.31;104.35;56.42;5907.65;2588.12;6.77;25.31;6.58;2.62;26.23;14.08;1.35;29.1;9.27;14.08;8.58;0.12;490.35;51.3;1.08;1.28;57.0;97.73;14.19
Real Madrid;La Liga;60.5;41;39;33;39.2;28.9;1.58;1.5;1.27;1.57;1.16;21;1;0.81;7970.0;42.3;21.2;0.23;2.2;2.85;3.52;361;13.88;4.31;2.87;1.7999999999999972;86.5;92.4;91.1;72.2;532.38;615.46;230.23;212.58;80.54;10211.96;2970.54;10.54;41.19;10.88;2.19;39.31;22.64;2.8;30.4;10.31;13.62;9.92;0.35;712.96;65.9;2.08;0.95;53.9;72.08;10.69
Real Sociedad;La Liga;55.7;42;35;26;41.4;26.1;1.62;1.35;1.0;1.66;1.04;21;0;0.81;6780.0;42.3;18.2;0.27;-2.8;2.27;2.81;296;11.38;3.88;2.89;0.6000000000000014;79.1;86.1;85.9;60.9;380.85;481.31;148.12;169.62;56.35;7518.08;2379.77;7.04;28.15;9.38;1.62;32.65;17.0;2.72;30.3;8.92;13.15;6.69;0.12;578.46;59.9;1.73;0.81;50.4;86.54;15.23
Sevilla;La Liga;61.9;34;30;24;31.9;22.0;1.36;1.2;0.96;1.28;0.88;20;2;0.8;7530.0;44.0;19.2;0.24;1.2;3.08;3.85;292;11.68;3.28;2.73;2.1000000000000014;84.5;91.1;89.9;66.8;505.44;598.2;194.64;224.36;78.16;10099.84;2946.36;9.48;33.92;9.76;3.12;34.4;20.6;2.36;33.1;10.76;13.44;7.8;0.16;700.96;68.0;1.92;0.93;54.1;80.8;13.64
Valencia;La Liga;46.7;30;24;21;29.7;18.2;1.15;0.92;0.81;1.14;0.7;36;2;1.38;7170.0;19.2;36.1;0.29;2.1;4.35;3.14;266;10.23;3.27;3.54;0.3000000000000007;77.8;86.2;84.9;60.4;334.0;429.27;123.42;144.31;60.62;7047.65;2455.5;6.92;25.88;6.65;1.96;28.35;16.15;2.08;27.1;8.58;16.42;6.81;0.35;539.42;58.7;1.15;1.43;50.2;81.12;12.69
Valladolid;La Liga;44.1;25;20;15;24.4;14.0;0.96;0.77;0.58;0.94;0.54;37;0;1.42;6800.0;7.7;36.6;0.32;-0.4;3.85;2.7;222;8.54;2.85;3.7;0.6000000000000014;72.5;84.4;81.0;50.5;279.65;385.81;114.42;111.69;48.38;5709.08;2092.88;6.12;21.54;4.85;1.96;22.19;13.81;1.42;27.9;10.08;16.15;8.69;0.23;497.04;52.0;0.96;1.35;43.3;85.81;14.46
Villarreal;La Liga;55.7;34;26;19;36.5;24.1;1.31;1.0;0.73;1.4;0.93;30;2;1.15;6710.0;23.1;23.7;0.25;-3.3;2.92;2.53;263;10.12;3.62;3.62;-2.5;83.9;89.3;89.5;69.3;476.15;567.65;185.12;210.5;74.23;9497.0;2934.04;7.96;32.88;9.69;2.62;35.46;17.42;2.27;29.1;8.88;15.58;8.35;0.27;670.81;63.5;1.42;0.95;49.6;80.38;12.04
Arsenal;Premier League;52.8;35;30;26;37.5;24.3;1.3;1.11;0.96;1.39;0.9;28;3;1.04;7270.0;29.6;31.7;0.31;6.7;3.67;3.54;317;11.74;3.63;3.27;-2.5;82.8;88.9;89.5;63.0;456.85;551.44;179.3;209.0;61.93;8800.52;2414.44;8.07;32.63;9.33;2.0;35.33;18.33;2.26;29.7;8.48;15.59;8.04;0.26;653.85;55.5;1.41;1.18;45.1;83.19;9.22
Aston Villa;Premier League;48.9;37;34;29;38.8;27.4;1.42;1.31;1.12;1.49;1.05;27;0;1.04;7900.0;53.8;34.7;0.28;7.7;4.58;4.41;359;13.81;4.88;3.74;-1.7999999999999972;76.6;85.5;84.7;56.2;338.58;442.23;128.54;144.85;57.62;6953.38;2476.08;10.69;29.0;9.27;2.19;33.04;22.69;2.54;28.1;8.77;15.08;8.58;0.35;554.58;66.7;1.54;1.28;52.2;89.77;11.23
Brighton;Premier League;51.8;26;21;16;38.7;24.2;0.96;0.78;0.59;1.43;0.9;35;2;1.3;6330.0;29.6;32.3;0.34;-0.7;2.93;2.26;345;12.78;3.37;4.33;-12.700000000000003;79.3;86.0;86.9;60.4;403.59;508.96;148.37;184.59;64.7;8199.96;2549.52;9.48;29.26;10.56;2.89;34.15;20.56;1.44;33.1;10.96;15.37;8.85;0.07;615.15;62.1;0.96;1.01;46.4;93.33;11.89
Burnley;Premier League;41.3;19;18;10;25.5;17.0;0.68;0.64;0.36;0.91;0.61;36;1;1.29;7520.0;32.1;40.1;0.28;5.1;4.75;3.69;259;9.25;3.07;4.78;-6.5;71.0;84.5;79.3;49.5;282.29;397.5;115.21;104.18;54.82;5856.21;2263.25;6.32;22.21;6.82;2.29;23.93;13.61;0.89;26.9;8.18;17.07;8.68;0.25;503.68;61.8;1.07;1.47;53.3;94.93;10.79
Chelsea;Premier League;61.4;41;35;28;41.7;26.4;1.52;1.3;1.04;1.54;0.98;25;1;0.93;6850.0;48.1;21.5;0.27;-2.5;2.7;2.92;376;13.93;4.7;3.63;-0.7000000000000028;85.7;90.7;90.9;69.2;569.0;664.26;226.26;257.41;75.96;10934.26;3071.78;11.07;39.59;9.93;2.22;41.3;23.44;2.63;31.3;11.04;15.44;10.56;0.26;778.15;56.9;1.74;0.88;53.7;86.96;11.85
Crystal Palace;Premier League;40.5;28;26;21;22.0;15.3;1.0;0.93;0.75;0.78;0.55;47;0;1.68;6590.0;21.4;47.3;0.35;0.3;4.61;2.74;244;8.71;3.04;3.27;6.0;76.0;85.6;83.2;52.0;310.0;407.68;137.11;123.18;42.39;5835.54;2231.5;6.39;20.64;6.5;1.64;26.25;13.75;1.79;26.3;9.82;17.39;10.68;0.36;525.14;59.0;1.21;1.5;48.6;84.82;10.61
Everton;Premier League;47.1;38;35;26;31.6;21.2;1.46;1.35;1.0;1.22;0.82;33;0;1.27;7100.0;26.9;30.6;0.27;-2.4;4.12;3.24;250;9.62;3.92;2.91;6.399999999999999;80.4;87.7;87.8;61.5;397.35;494.0;150.73;175.58;62.73;8021.92;2601.08;7.19;25.73;6.77;1.65;27.58;15.54;2.5;29.6;11.35;18.38;9.54;0.23;611.54;58.2;1.77;1.33;57.6;87.15;10.46
Fulham;Premier League;49.6;21;19;15;31.3;21.4;0.75;0.68;0.54;1.12;0.76;33;1;1.18;7630.0;32.1;38.7;0.3;6.7;4.21;3.58;330;11.79;3.43;5.05;-10.3;80.6;88.3;87.9;60.5;406.43;504.25;154.18;182.68;62.04;8083.64;2585.54;9.25;27.14;8.18;2.71;31.07;19.54;1.43;30.1;10.11;15.75;12.75;0.18;628.5;66.5;0.93;1.29;49.7;89.89;12.68
Leeds United;Premier League;60.5;42;39;31;40.0;29.0;1.62;1.5;1.19;1.54;1.11;44;2;1.69;7200.0;30.8;43.5;0.28;1.5;5.08;3.0;368;14.15;5.31;3.54;2.0;80.6;87.6;87.8;61.7;452.27;561.35;173.19;204.65;67.27;8911.85;2867.04;10.69;32.0;10.46;2.54;40.12;22.23;2.81;31.7;13.23;14.88;10.46;0.31;677.38;57.8;1.35;1.65;48.6;95.54;11.15
Leicester City;Premier League;52.8;45;37;30;40.0;22.3;1.61;1.32;1.07;1.43;0.8;32;1;1.14;7140.0;32.1;36.4;0.34;5.4;3.75;3.28;329;11.75;4.14;3.14;5.0;80.4;87.7;87.4;58.7;421.79;524.32;174.39;184.79;55.79;8018.54;2486.82;8.39;28.57;7.57;1.43;31.64;19.11;2.82;31.0;11.5;16.82;9.89;0.07;642.71;54.0;1.89;1.23;47.7;95.43;10.29
Liverpool;Premier League;63.5;44;38;27;50.5;32.8;1.57;1.36;0.96;1.8;1.17;36;0;1.29;6770.0;25.0;37.8;0.35;1.8;3.54;2.75;415;14.82;4.96;3.66;-6.5;84.5;90.1;90.5;66.9;589.75;698.29;228.32;267.64;84.93;11575.32;3358.54;10.68;48.43;14.46;2.46;51.82;22.82;2.18;33.0;9.07;13.21;7.79;0.61;805.14;60.4;1.54;1.24;46.2;100.79;10.21
Manchester City;Premier League;64.7;55;51;37;53.1;37.6;1.96;1.82;1.32;1.9;1.34;19;1;0.68;7720.0;53.6;21.3;0.28;3.3;2.04;3.0;433;15.46;5.57;3.06;1.8999999999999986;88.1;92.2;92.2;73.9;630.5;715.64;265.93;276.18;78.43;11790.43;3061.43;11.61;49.29;11.75;1.21;44.04;25.86;3.29;32.0;10.04;11.04;7.82;0.14;813.57;57.7;2.32;0.77;56.0;84.14;9.43
Manchester Utd;Premier League;55.6;53;45;37;44.2;28.6;1.89;1.61;1.32;1.58;1.02;32;2;1.14;7170.0;39.3;31.5;0.28;1.5;3.54;3.09;382;13.64;5.29;3.29;8.799999999999997;83.8;90.1;89.0;65.8;484.25;578.07;213.18;202.86;60.25;8977.46;2711.71;10.39;36.21;10.0;1.61;39.79;22.89;3.25;29.6;10.0;16.64;10.29;0.11;692.89;58.9;1.93;1.2;55.3;87.11;12.25
Newcastle Utd;Premier League;38.7;26;22;17;25.3;17.4;0.96;0.81;0.63;0.94;0.65;44;2;1.63;6750.0;18.5;39.5;0.29;-2.5;4.67;2.86;266;9.85;3.26;4.0;0.6999999999999993;73.8;85.6;82.6;51.5;278.89;378.11;112.81;112.96;48.19;5703.48;2045.11;7.07;18.85;5.93;1.85;20.74;15.33;1.56;25.3;9.3;16.81;9.37;0.3;490.63;60.1;1.0;1.41;46.7;80.04;10.74
Sheffield Utd;Premier League;41.4;15;12;11;24.4;17.7;0.54;0.43;0.39;0.87;0.63;45;1;1.61;7060.0;7.1;43.9;0.29;-0.1;5.11;3.18;239;8.54;2.71;6.33;-9.399999999999999;75.2;86.7;82.7;50.4;314.21;417.93;137.61;122.89;47.0;6148.46;2211.89;6.68;26.89;7.29;1.54;27.57;13.46;0.71;25.8;10.25;17.5;10.07;0.54;530.14;58.4;0.5;1.5;48.3;85.18;12.5
Southampton;Premier League;53.0;33;30;23;26.7;17.7;1.22;1.11;0.85;0.99;0.66;44;1;1.63;6360.0;33.3;38.0;0.32;-5.0;3.96;2.43;277;10.26;3.81;3.43;6.300000000000001;78.1;87.8;86.0;48.8;395.11;505.81;175.26;169.48;42.59;7183.7;2369.52;6.93;23.52;6.93;0.93;28.59;15.26;2.11;32.2;12.48;16.44;10.44;0.22;624.96;58.0;1.22;1.29;43.8;98.81;11.56
Tottenham;Premier League;50.5;45;42;39;36.9;26.8;1.67;1.56;1.44;1.37;0.99;28;2;1.04;7760.0;33.3;30.8;0.27;4.8;3.63;3.5;305;11.3;4.37;2.81;8.100000000000001;80.9;88.3;86.8;60.7;418.33;517.07;174.44;175.96;59.56;8024.22;2517.19;7.89;29.0;6.81;1.44;30.56;18.41;3.07;26.7;10.74;14.63;8.63;0.19;633.11;60.9;1.67;1.17;50.5;85.44;11.93
West Brom;Premier League;37.6;19;17;11;20.2;12.2;0.68;0.61;0.39;0.72;0.43;56;3;2.0;6870.0;17.9;55.8;0.32;2.8;5.93;2.96;224;8.0;2.64;4.35;-1.1999999999999993;71.9;85.2;79.6;47.4;266.79;371.18;110.39;107.32;43.82;5345.57;2028.75;5.57;21.57;5.32;1.82;23.0;12.0;1.21;27.5;10.46;18.11;10.43;0.11;489.04;54.3;0.64;1.68;48.4;88.32;10.68
West Ham;Premier League;41.6;38;37;28;35.5;24.2;1.46;1.42;1.08;1.36;0.93;31;0;1.19;6950.0;34.6;32.2;0.32;1.2;3.65;3.06;306;11.77;4.23;2.97;2.5;75.9;85.4;82.7;56.8;320.62;422.15;129.27;131.65;54.38;6506.81;2381.12;8.35;24.19;6.54;2.69;25.54;18.62;2.38;27.3;9.38;15.58;10.58;0.23;529.19;61.9;1.73;1.12;52.7;87.92;10.81
Wolves;Premier League;47.3;26;22;15;29.2;19.2;0.93;0.79;0.54;1.04;0.69;37;3;1.32;6870.0;28.6;31.0;0.26;-3.0;3.54;2.68;330;11.79;3.75;4.77;-3.1999999999999993;81.2;89.4;87.1;64.4;387.61;477.07;153.18;163.11;64.54;7737.5;2404.57;8.93;25.75;5.39;2.29;25.82;19.39;1.5;29.0;10.14;15.14;9.43;0.14;587.21;64.5;1.25;1.17;51.5;78.29;11.36
Angers;Ligue 1;45.1;33;28;20;32.5;20.8;1.18;1.0;0.71;1.16;0.74;42;1;1.5;6160.0;25.0;35.1;0.32;-5.9;3.54;2.36;299;10.68;3.75;3.75;0.5;79.7;89.0;86.0;57.7;376.57;472.64;160.5;155.04;54.18;7215.25;2573.04;7.46;24.36;5.96;1.54;30.57;16.5;1.71;29.6;12.54;14.96;10.11;0.21;595.89;55.3;1.39;1.3;47.7;86.96;12.25
Bordeaux;Ligue 1;49.4;27;26;23;28.3;21.0;0.96;0.93;0.82;1.01;0.75;35;1;1.25;6950.0;42.9;31.0;0.26;-2.0;3.75;3.0;305;10.89;3.57;3.85;-1.3000000000000007;82.8;90.0;88.5;64.3;428.54;517.64;171.54;186.86;63.11;8417.89;2698.57;8.07;24.43;4.89;1.61;26.32;17.43;1.71;30.1;11.18;14.32;10.43;0.25;631.54;55.2;1.18;1.37;52.5;78.5;12.39
Brest;Ligue 1;48.2;40;37;26;37.5;26.2;1.43;1.32;0.93;1.34;0.93;50;1;1.79;6740.0;17.9;44.0;0.29;-5.0;4.71;2.64;329;11.75;4.04;3.05;2.5;80.7;86.4;87.3;65.4;407.29;504.61;146.21;183.82;70.04;8378.39;2790.79;9.18;26.75;7.86;3.32;31.18;19.96;2.25;28.1;11.29;14.82;8.68;0.29;617.75;63.4;1.21;1.49;55.5;80.96;12.93
Dijon;Ligue 1;46.6;19;18;11;22.1;14.6;0.68;0.64;0.39;0.79;0.52;47;2;1.68;6800.0;14.3;47.2;0.33;2.2;4.57;2.72;267;9.54;2.46;3.83;-3.1000000000000014;78.9;87.0;86.3;59.0;373.57;473.39;140.86;166.14;60.11;7478.96;2604.57;6.86;23.79;5.11;1.32;28.71;14.29;0.93;30.7;11.64;15.0;11.43;0.32;589.0;62.4;0.54;2.02;47.3;83.29;14.68
Lens;Ligue 1;53.3;40;33;28;42.7;26.8;1.43;1.18;1.0;1.52;0.96;39;2;1.39;6600.0;25.0;32.8;0.28;-4.2;3.36;2.41;333;11.89;3.54;3.0;-2.700000000000003;80.9;87.0;87.3;64.1;417.75;516.5;156.04;188.79;66.39;8428.89;2654.14;8.5;30.54;7.54;2.61;38.14;19.39;2.57;32.3;11.18;14.64;11.57;0.18;633.64;61.7;1.57;1.13;52.7;86.57;14.39
Lille;Ligue 1;54.6;47;44;30;39.7;29.0;1.68;1.57;1.07;1.42;1.04;17;1;0.61;7840.0;53.6;18.0;0.23;2.0;2.64;4.35;372;13.29;4.68;2.98;7.299999999999997;82.4;89.5;87.9;62.6;475.54;577.11;199.89;200.64;65.39;9074.57;2834.64;9.93;39.46;7.39;1.79;40.64;21.54;2.68;31.2;11.82;14.18;10.14;0.11;690.46;60.1;2.21;0.68;51.6;90.0;13.04
Lorient;Ligue 1;43.8;32;25;13;33.7;19.8;1.14;0.89;0.46;1.2;0.71;53;1;1.89;6230.0;10.7;39.8;0.28;-11.2;4.36;2.3;301;10.75;3.36;3.76;-1.7000000000000028;77.6;87.2;84.9;55.6;339.0;436.93;138.36;142.89;51.46;6625.93;2347.68;7.21;22.21;5.25;1.57;26.89;16.43;1.71;29.2;13.0;15.61;12.0;0.14;561.18;58.5;0.96;1.41;49.0;84.61;13.75
Lyon;Ligue 1;55.1;52;43;30;63.3;40.5;1.86;1.54;1.07;2.26;1.45;25;2;0.89;7500.0;35.7;26.2;0.27;3.2;3.0;3.36;453;16.18;5.71;3.72;-11.299999999999997;83.8;89.5;88.2;68.5;464.11;554.11;189.29;199.5;66.04;8917.18;2954.82;11.71;37.18;10.54;1.93;44.71;27.0;3.36;30.8;11.75;15.07;9.29;0.29;673.5;62.2;2.11;1.06;53.5;86.61;12.79
Marseille;Ligue 1;52.1;33;31;28;31.4;22.1;1.22;1.15;1.04;1.16;0.82;32;1;1.19;6590.0;22.2;29.8;0.32;-1.2;3.26;2.75;247;9.15;3.04;2.65;1.6000000000000014;79.7;87.8;86.4;58.2;414.04;519.59;181.44;163.85;58.81;7872.74;2635.78;6.85;27.7;5.07;1.19;29.37;14.81;2.07;31.0;13.11;15.33;10.85;0.11;636.78;57.6;1.44;1.22;49.7;84.78;13.96
