Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;Tkl/90;Blocks/90;Int/90;Err/90;Touches/90;Dribbles%;Points/90;xGA/90;Aerial%;Recov/90;Fls/90
Augsburg;Bundesliga;41.4;23;22;16;23.0;16.9;0.96;0.92;0.67;0.96;0.7;38;2;1.58;7310.0;20.8;36.4;0.25;1.4;4.96;3.13;208;8.67;2.75;3.0;0.0;74.4;84.1;82.5;55.8;313.21;420.75;116.71;136.88;54.29;6450.88;2323.54;6.42;18.75;5.5;1.58;25.21;13.12;1.46;30.6;10.17;18.92;11.04;0.21;546.08;59.8;1.08;1.66;46.6;91.08;12.12
Bayern Munich;Bundesliga;62.3;71;64;57;52.7;38.3;2.96;2.67;2.37;2.2;1.6;34;0;1.42;6560.0;20.8;35.7;0.37;1.7;4.0;2.82;396;16.5;6.54;2.45;18.299999999999997;84.1;88.5;89.7;71.8;550.38;654.42;204.33;249.12;88.42;11064.38;3441.38;13.12;48.75;14.08;3.62;51.0;27.33;5.12;34.6;10.67;16.04;10.17;0.17;771.04;64.2;2.29;1.3;53.1;98.17;9.54
Dortmund;Bundesliga;61.2;49;47;39;48.5;35.5;2.04;1.96;1.62;2.02;1.48;35;0;1.46;6770.0;33.3;29.4;0.28;-5.6;4.12;2.83;347;14.46;5.5;2.81;0.5;84.8;89.3;90.0;70.8;572.42;675.21;228.71;254.29;80.67;11067.29;3241.75;11.04;38.21;12.79;1.75;47.04;24.04;3.46;35.4;12.17;15.0;10.46;0.21;788.29;63.9;1.63;1.18;55.6;97.58;11.25
Eint Frankfurt;Bundesliga;53.7;43;36;34;39.9;30.3;1.79;1.5;1.42;1.66;1.26;33;1;1.37;6850.0;12.5;29.7;0.29;-2.3;3.83;2.79;308;12.83;4.67;3.11;3.1000000000000014;77.4;85.0;84.3;58.3;415.46;536.46;165.25;182.58;61.08;8159.96;3025.92;10.5;31.88;8.75;2.92;40.79;21.67;3.38;31.8;12.58;16.96;12.17;0.33;653.21;58.4;1.79;1.26;55.8;102.25;14.42
Freiburg;Bundesliga;45.2;36;32;23;31.9;18.8;1.5;1.33;0.96;1.33;0.78;38;1;1.58;6920.0;16.7;36.9;0.3;-0.1;4.88;3.08;267;11.12;4.08;3.06;4.100000000000001;76.6;84.4;85.7;58.6;348.75;455.38;114.79;165.62;63.04;7420.29;2558.5;8.17;23.25;7.04;2.62;30.38;17.42;2.29;26.2;8.92;16.42;10.08;0.25;565.96;55.4;1.42;1.54;48.7;87.71;12.96
Hertha BSC;Bundesliga;51.3;27;24;19;30.2;20.1;1.13;1.0;0.79;1.26;0.84;43;1;1.79;6110.0;20.8;36.3;0.32;-5.7;3.96;2.21;280;11.67;4.17;4.17;-3.1999999999999993;78.8;83.9;87.3;65.8;381.71;484.29;111.83;182.46;82.42;8492.79;2630.08;8.04;25.75;7.08;2.21;32.5;17.83;1.75;30.1;10.25;17.42;11.21;0.5;605.92;60.9;0.88;1.38;48.2;90.0;15.17
Hoffenheim;Bundesliga;49.2;38;33;28;39.1;25.2;1.58;1.37;1.17;1.63;1.05;41;1;1.71;6360.0;16.7;39.4;0.34;-0.6;4.12;2.41;290;12.08;4.54;3.3;-1.1000000000000014;79.1;86.4;86.2;61.4;399.33;505.0;153.29;174.79;62.88;7959.54;2845.5;8.75;29.58;8.96;2.62;37.58;19.58;2.87;33.5;10.33;17.54;9.0;0.25;627.62;58.9;1.25;1.65;45.8;96.58;14.21
Köln;Bundesliga;43.6;21;20;15;22.5;13.5;0.87;0.83;0.62;0.98;0.58;42;0;1.75;6790.0;12.5;36.8;0.29;-4.2;4.54;2.6;222;9.25;2.75;3.3;-1.5;75.2;83.7;84.1;57.3;318.21;422.92;112.04;140.12;58.38;6663.29;2498.0;6.08;20.62;5.21;1.83;25.71;13.35;1.35;30.5;11.54;16.75;12.04;0.29;539.0;56.1;0.92;1.59;46.2;88.04;12.79
Leverkusen;Bundesliga;61.8;41;39;33;33.0;23.3;1.71;1.62;1.37;1.38;0.97;26;2;1.08;6380.0;25.0;24.0;0.32;0.0;2.88;2.65;328;13.67;5.17;3.18;8.0;83.2;89.2;89.8;67.6;537.96;646.29;190.25;248.17;91.96;11003.71;3276.71;10.5;36.04;8.58;2.33;39.54;22.42;2.87;35.5;10.08;15.0;10.67;0.17;764.75;59.6;1.67;1.15;45.3;104.54;12.92
M'Gladbach;Bundesliga;52.2;40;32;25;36.2;20.7;1.67;1.33;1.04;1.51;0.86;37;0;1.54;6560.0;16.7;32.1;0.31;-4.9;3.88;2.51;286;11.92;4.5;3.38;3.799999999999997;81.0;88.0;86.8;62.4;448.92;554.0;183.46;194.92;61.88;8581.83;2825.42;8.33;27.75;7.5;1.54;37.21;17.83;2.71;29.8;9.92;18.42;11.29;0.25;677.38;61.7;1.38;1.24;49.9;90.08;12.21
Mainz 05;Bundesliga;40.6;23;20;14;30.2;22.1;0.96;0.83;0.58;1.26;0.92;44;1;1.83;6800.0;12.5;39.3;0.29;-3.7;5.08;2.77;263;10.96;3.29;3.95;-7.199999999999999;71.1;80.8;79.3;51.8;289.75;407.67;108.21;127.21;48.88;5879.62;2295.58;8.08;21.29;6.62;1.96;28.12;16.33;1.54;30.9;11.79;17.62;11.88;0.33;531.67;59.8;0.75;1.55;48.1;98.46;14.5
RB Leipzig;Bundesliga;58.5;45;39;32;44.0;29.1;1.87;1.62;1.33;1.83;1.21;20;0;0.83;6900.0;50.0;18.1;0.28;-1.9;2.42;2.9;365;15.21;5.46;3.36;1.0;81.9;87.8;86.9;64.6;501.67;612.42;207.83;220.04;64.04;9395.62;3098.79;11.67;37.5;11.04;2.38;45.79;25.67;3.08;34.3;11.08;15.58;10.83;0.17;731.62;60.0;2.21;0.86;59.5;103.92;12.71
Schalke 04;Bundesliga;46.2;15;15;12;18.8;12.7;0.62;0.62;0.5;0.78;0.53;61;3;2.54;6520.0;12.5;52.5;0.31;-5.5;6.58;2.59;238;9.92;2.71;4.33;-3.8000000000000007;77.0;84.4;85.4;58.6;343.42;445.75;128.25;151.62;56.92;6931.96;2345.29;7.0;20.46;6.0;1.04;27.67;14.96;1.13;30.3;11.12;19.25;12.67;0.29;572.96;57.6;0.42;2.09;49.7;89.21;13.04
Stuttgart;Bundesliga;50.5;45;39;34;43.5;30.2;1.87;1.62;1.42;1.81;1.26;37;1;1.54;6910.0;12.5;34.6;0.28;-1.4;4.58;2.97;344;14.33;5.04;3.1;1.5;79.2;86.8;86.1;58.5;396.54;500.58;157.71;176.83;54.0;7650.79;2810.17;10.75;27.54;9.08;2.21;36.83;23.96;3.25;31.9;10.96;18.33;10.38;0.17;625.29;63.9;1.38;1.53;53.0;98.04;12.92
Union Berlin;Bundesliga;44.2;36;32;27;31.8;21.0;1.5;1.33;1.13;1.38;0.91;26;1;1.08;7040.0;29.2;26.2;0.32;1.2;3.38;3.12;271;11.29;3.96;2.97;4.199999999999999;74.7;84.0;82.2;57.1;324.08;433.71;119.46;138.38;60.25;6730.29;2409.46;7.88;22.79;5.46;2.38;27.83;17.39;2.87;32.0;10.38;15.5;11.17;0.25;542.17;56.6;1.46;1.0;45.4;95.75;12.75
Werder Bremen;Bundesliga;42.9;26;22;19;20.6;12.1;1.13;0.96;0.83;0.94;0.55;33;1;1.43;6700.0;17.4;26.9;0.26;-4.1;4.09;2.85;237;10.3;3.57;3.73;5.399999999999999;76.4;84.6;83.5;57.4;327.04;427.87;125.09;145.57;52.35;6624.74;2375.0;6.39;23.04;5.04;1.87;26.83;14.95;1.95;28.4;10.52;16.87;13.22;0.17;545.35;54.3;1.17;1.24;48.4;84.35;11.91
Wolfsburg;Bundesliga;51.6;37;35;29;35.5;26.0;1.54;1.46;1.21;1.48;1.08;21;1;0.87;7630.0;45.8;25.1;0.3;5.1;3.33;3.81;324;13.5;4.75;3.26;1.5;77.3;82.5;84.9;63.6;393.33;509.0;129.12;184.25;73.88;8415.38;2762.5;9.5;28.83;8.92;2.46;37.75;19.79;2.71;33.2;11.92;18.33;11.29;0.25;634.75;62.5;1.88;1.17;51.4;104.33;13.0
Atalanta;Serie A;55.2;59;56;41;48.7;35.0;2.36;2.24;1.64;1.95;1.4;32;1;1.28;6170.0;28.0;28.2;0.3;-2.8;3.24;2.53;406;16.24;5.84;2.61;10.299999999999997;82.6;88.7;87.4;65.6;478.64;579.56;202.12;206.72;62.04;9007.96;2939.0;12.44;38.64;13.64;2.4;51.12;27.04;3.96;33.5;11.0;14.76;11.96;0.16;700.36;61.1;1.96;1.14;57.3;103.8;15.8
Benevento;Serie A;42.1;26;24;16;27.8;17.6;1.0;0.92;0.62;1.07;0.68;48;3;1.85;5980.0;23.1;43.7;0.37;-1.3;4.31;2.33;278;10.69;3.35;3.62;-1.8000000000000007;76.1;86.0;83.4;55.3;305.19;401.27;115.54;131.65;49.69;6106.96;2166.73;7.42;19.38;7.35;1.96;25.69;15.85;1.42;28.8;9.81;15.62;9.19;0.27;510.23;55.7;1.0;1.68;45.8;78.38;13.04
Bologna;Serie A;50.4;31;30;24;31.2;22.0;1.19;1.15;0.92;1.25;0.88;41;2;1.58;7140.0;19.2;40.8;0.31;4.8;5.12;3.24;335;12.88;4.69;4.07;-0.1999999999999993;80.2;87.1;85.9;62.5;371.88;463.69;147.88;160.92;55.23;7224.15;2520.5;8.96;27.73;7.12;1.31;34.0;20.16;1.92;28.3;8.65;17.27;10.92;0.23;582.19;60.3;1.08;1.54;50.6;81.54;13.92
Cagliari;Serie A;43.6;29;26;17;29.0;18.9;1.12;1.0;0.65;1.16;0.76;43;0;1.65;7250.0;15.4;45.7;0.31;4.7;5.46;3.3;275;10.58;3.04;3.04;0.0;77.6;85.7;83.2;58.8;321.54;414.54;127.62;140.15;47.23;6266.27;2242.46;7.42;21.31;7.04;1.65;27.42;16.48;1.72;27.8;9.46;15.69;9.58;0.23;525.0;64.0;0.85;1.78;48.3;79.19;13.58
Crotone;Serie A;48.1;27;22;17;24.1;15.4;1.04;0.85;0.65;0.93;0.59;64;1;2.46;5930.0;7.7;56.3;0.36;-6.7;5.58;2.27;253;9.73;2.92;3.45;2.8999999999999986;79.5;87.2;86.5;58.1;368.85;463.88;136.23;175.42;51.12;7276.08;2592.54;7.15;21.81;6.54;2.04;29.92;15.96;1.85;28.9;10.46;15.31;8.08;0.5;578.23;56.7;0.58;1.93;46.2;85.08;14.31
Fiorentina;Serie A;50.0;26;23;18;32.9;22.3;1.0;0.88;0.69;1.26;0.86;41;1;1.58;6330.0;23.1;38.3;0.33;-1.7;3.77;2.39;271;10.42;3.23;3.65;-6.899999999999999;80.5;88.1;86.9;62.8;393.15;488.54;149.73;173.65;63.27;7887.42;2468.0;7.31;29.88;7.69;3.04;32.27;15.58;1.65;30.0;10.04;13.46;8.92;0.19;597.85;59.9;1.0;1.46;49.1;83.31;14.31
Genoa;Serie A;44.0;27;26;20;22.5;16.3;1.04;1.0;0.77;0.87;0.63;38;1;1.46;7140.0;23.1;35.9;0.28;-1.1;4.58;3.13;216;8.31;2.96;2.96;4.5;77.6;87.2;84.5;56.1;358.62;462.12;143.35;151.42;56.5;7101.5;2331.85;6.23;20.73;5.69;1.69;24.62;12.42;1.35;26.9;10.35;16.81;10.69;0.42;578.96;53.4;1.04;1.36;42.5;88.38;13.85
Hellas Verona;Serie A;48.2;27;24;20;31.2;21.6;1.04;0.92;0.77;1.2;0.83;29;2;1.12;7290.0;19.2;25.9;0.25;-1.1;3.69;3.31;264;10.15;3.15;3.42;-4.199999999999999;73.9;83.6;81.4;50.8;337.0;455.85;137.38;144.08;48.65;6542.5;2256.27;7.65;25.31;8.15;1.77;33.0;16.04;2.04;30.3;9.0;17.27;11.23;0.46;572.15;61.4;1.46;1.34;49.5;104.46;15.77
Inter;Serie A;52.9;58;54;45;53.3;40.8;2.32;2.16;1.8;2.13;1.63;25;0;1.0;7410.0;36.0;25.0;0.25;0.0;3.4;3.4;379;15.16;5.92;2.74;4.700000000000003;85.0;90.0;89.9;69.7;483.84;569.24;192.0;217.96;64.76;9276.44;2750.08;11.84;35.84;11.48;3.04;41.04;24.96;4.0;29.8;8.84;14.4;8.4;0.16;670.08;58.0;2.36;1.05;55.5;79.08;13.52
Juventus;Serie A;57.8;50;45;40;49.1;35.6;2.0;1.8;1.6;1.96;1.42;21;1;0.84;7600.0;32.0;21.5;0.25;1.5;3.0;3.57;385;15.4;5.48;3.04;0.8999999999999986;86.6;90.3;91.4;73.3;534.2;616.52;201.56;250.24;74.52;10394.84;3100.92;11.96;37.6;10.28;2.44;41.84;26.12;3.68;30.7;10.92;15.2;8.92;0.16;723.48;64.6;2.08;0.96;53.7;77.8;12.48
Lazio;Serie A;52.4;39;36;26;36.1;23.3;1.56;1.44;1.04;1.44;0.93;35;1;1.4;6940.0;28.0;34.7;0.31;0.7;3.92;2.8;328;13.12;4.56;3.17;2.8999999999999986;81.9;87.9;87.4;66.6;446.4;545.08;171.52;192.48;72.24;8840.68;2877.72;9.76;38.16;10.28;2.72;37.08;21.28;2.6;31.4;11.52;15.28;10.72;0.24;658.0;57.7;1.72;1.31;52.6;91.44;13.44
Milan;Serie A;51.5;49;37;30;50.7;29.1;1.88;1.42;1.15;1.95;1.12;30;1;1.15;7220.0;34.6;31.4;0.29;2.4;3.73;3.23;372;14.31;5.04;3.54;-1.7000000000000028;81.3;88.1;87.4;62.6;408.92;503.19;162.15;178.92;58.35;7889.73;2560.85;10.46;29.77;9.69;2.31;35.38;23.96;3.23;30.1;11.19;17.54;9.35;0.31;617.04;65.6;2.15;1.3;51.8;84.46;14.15
Napoli;Serie A;56.0;54;49;37;41.9;27.3;2.16;1.96;1.48;1.75;1.14;29;1;1.16;6840.0;36.0;24.4;0.28;-2.6;3.04;2.62;420;16.8;5.96;3.04;12.100000000000001;85.7;91.2;90.0;72.1;499.44;582.52;211.12;207.56;71.44;9461.88;2802.32;12.04;35.4;10.2;2.12;38.24;27.33;3.62;30.8;10.28;13.76;8.92;0.16;681.88;61.2;1.88;1.12;48.3;74.76;10.08
Parma;Serie A;47.2;23;19;16;25.7;18.5;0.88;0.73;0.62;0.99;0.71;52;3;2.0;5950.0;15.4;42.8;0.33;-6.2;4.85;2.42;252;9.69;2.92;4.0;-2.6999999999999993;80.9;87.6;87.2;66.9;385.46;476.62;133.58;172.35;74.12;8223.27;2691.38;7.23;25.46;5.96;1.92;30.58;15.27;1.54;28.0;10.58;16.42;9.73;0.27;588.58;63.8;0.62;1.5;55.0;74.42;13.15
Roma;Serie A;52.4;50;44;38;50.8;36.4;1.92;1.69;1.46;1.96;1.4;35;3;1.35;6630.0;30.8;29.5;0.27;-2.5;3.54;2.63;367;14.12;4.92;2.91;-0.7999999999999972;83.1;87.9;89.5;67.1;452.92;545.08;172.19;208.54;66.38;8955.77;2713.15;10.19;32.62;9.08;1.77;37.31;22.65;3.38;29.7;10.46;13.65;10.92;0.38;644.69;58.4;1.92;1.09;53.1;81.46;15.0
Sampdoria;Serie A;44.1;36;33;28;27.7;18.0;1.38;1.27;1.08;1.11;0.72;39;1;1.5;7200.0;7.7;34.9;0.26;-1.1;4.54;3.03;274;10.54;3.31;2.61;8.3;75.5;85.6;82.4;55.6;327.5;433.62;130.96;135.35;52.81;6455.15;2278.65;6.77;23.42;6.08;1.62;28.38;15.36;2.12;28.9;11.15;17.81;11.31;0.27;544.19;58.9;1.23;1.53;47.7;87.15;14.0
Sassuolo;Serie A;60.2;38;30;22;36.4;22.3;1.52;1.2;0.88;1.46;0.89;39;1;1.56;6790.0;20.0;37.1;0.31;-0.9;4.48;2.87;339;13.56;4.16;3.47;1.6000000000000014;85.8;91.1;90.5;67.7;516.88;602.6;224.56;221.72;59.16;9396.28;2786.0;9.8;37.16;10.24;1.4;38.92;22.44;2.56;31.3;9.72;16.08;8.96;0.2;713.88;62.4;1.44;1.52;50.0;78.68;12.88
Spezia;Serie A;53.1;33;30;22;32.0;20.4;1.27;1.15;0.85;1.23;0.78;47;0;1.81;6100.0;19.2;40.0;0.33;-7.0;4.04;2.23;266;10.23;3.27;2.83;1.0;80.7;87.7;87.5;66.7;403.31;499.65;141.69;170.5;84.23;8619.19;2529.23;7.23;27.54;6.42;1.23;29.54;15.23;1.92;30.3;10.31;13.12;10.69;0.23;601.12;64.7;1.0;1.73;47.0;80.85;16.15
Torino;Serie A;48.3;34;31;21;31.1;20.1;1.42;1.29;0.87;1.3;0.84;45;1;1.87;5570.0;20.8;32.6;0.32;-11.4;3.67;1.96;283;11.79;3.71;2.87;2.8999999999999986;80.1;89.1;86.3;60.3;375.79;469.0;152.58;157.17;59.67;7439.92;2375.88;7.75;24.33;6.29;1.92;25.79;18.04;2.29;29.3;10.08;15.46;10.96;0.38;585.25;56.1;0.83;1.45;48.4;82.33;15.33
Udinese;Serie A;44.8;27;25;20;32.3;21.2;1.04;0.96;0.77;1.24;0.82;34;0;1.31;7020.0;30.8;36.3;0.33;2.3;3.62;2.76;295;11.35;3.54;3.68;-5.299999999999997;79.9;87.4;86.2;60.2;355.92;445.5;142.65;154.08;51.12;6902.23;2345.85;7.81;24.42;7.5;1.92;30.5;17.08;1.88;29.6;10.85;16.58;8.85;0.27;556.0;64.3;1.23;1.08;51.2;81.08;13.65
